time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1572912000,4ca7b7,52.0000,9.0000,180.0,90.0,15.0,DLH123,false,false,false,1234,1500.0,1505.0,1572912000.0,1572912000.0
1572912010,4ca7b7,52.0000,9.0270,200.0,90.0,15.0,DLH123,false,false,false,1234,1650.0,1655.0,1572912010.0,1572912010.0
1572912020,4ca7b7,52.0000,9.0540,220.0,90.0,15.0,DLH123,false,false,false,1234,1800.0,1805.0,1572912020.0,1572912020.0
1572912030,4ca7b7,52.0000,9.0810,240.0,90.0,15.0,DLH123,false,false,false,1234,1950.0,1955.0,1572912030.0,1572912030.0
1572912040,4ca7b7,52.0000,9.1080,250.0,90.0,12.0,DLH123,false,false,false,1234,2070.0,2075.0,1572912040.0,1572912040.0
1572912050,4ca7b7,52.0000,9.1350,250.0,90.0,12.0,DLH123,false,false,false,1234,2190.0,2195.0,1572912050.0,1572912050.0
1572912060,4ca7b7,52.0000,9.1620,250.0,90.0,12.0,DLH123,false,false,false,1234,2310.0,2315.0,1572912060.0,1572912060.0
1572912000,abc123,51.5000,-0.1000,235.0,270.0,0.0,BAW456,false,false,false,5678,10500.0,10520.0,1572912000.0,1572912000.0
1572912010,abc123,51.5000,-0.1320,235.0,270.0,0.0,BAW456,false,false,false,5678,10500.0,10520.0,1572912010.0,1572912010.0
1572912020,abc123,51.5000,-0.1640,235.0,270.0,0.0,BAW456,false,false,false,5678,10500.0,10520.0,1572912020.0,1572912020.0
1572912030,abc123,51.5000,-0.1960,235.0,270.0,0.0,BAW456,false,false,false,5678,10500.0,10520.0,1572912030.0,1572912030.0
1572912040,abc123,51.5000,-0.2280,235.0,270.0,0.0,BAW456,false,false,false,5678,10500.0,10520.0,1572912040.0,1572912040.0
1572912050,abc123,51.5000,-0.2600,235.0,270.0,0.0,BAW456,false,false,false,5678,10500.0,10520.0,1572912050.0,1572912050.0
1572912060,abc123,51.5000,-0.2920,235.0,270.0,0.0,BAW456,false,false,false,5678,10500.0,10520.0,1572912060.0,1572912060.0
1572912000,ground42,40.7128,-74.0060,0.0,0.0,0.0,GRD,true,false,false,0000,0.0,0.0,1572912000.0,1572912000.0
1572912010,ground42,40.7128,-74.0060,0.0,0.0,0.0,GRD,true,false,false,0000,0.0,0.0,1572912010.0,1572912010.0
